latitude,longitude,elevation_m,mean_dni,mean_dhi,mean_ghi_proxy,mean_temp
40.21,-105.42,2276,212.9431506849315,70.23173515981735,283.17488584474887,6.55972602739726
40.17,-105.42,2339,212.9769406392694,70.03413242009132,283.01107305936074,6.403835616438355
40.13,-105.42,2492,214.50171232876713,71.64246575342466,286.1441780821918,5.136997716894978
40.09,-105.42,2551,217.7049086757991,72.5148401826484,290.2197488584475,4.965833333333333
40.05,-105.42,2436,213.34817351598173,71.84543378995434,285.1936073059361,6.243630136986301
40.01,-105.42,2396,216.19908675799087,72.50285388127854,288.7019406392694,6.308002283105023
39.97,-105.42,2483,214.30182648401828,72.29417808219178,286.59600456621007,5.838664383561643
39.93,-105.42,2543,222.38481735159817,71.3398401826484,293.7246575342466,5.326415525114155
40.25,-105.38,2313,219.71438356164384,68.4472602739726,288.1616438356165,6.651255707762557
40.21,-105.38,2119,212.57020547945206,69.9277397260274,282.4979452054795,7.239600456621005
40.17,-105.38,2364,223.88584474885846,69.06221461187215,292.9480593607306,6.1682648401826485
40.13,-105.38,2394,222.2538812785388,69.13687214611872,291.39075342465753,5.889143835616439
40.09,-105.38,2316,218.19657534246576,69.8527397260274,288.0493150684932,6.326381278538812
40.05,-105.38,2238,221.65262557077625,69.0255707762557,290.678196347032,7.505456621004567
40.01,-105.38,2252,211.1472602739726,73.90513698630137,285.05239726027395,7.712385844748859
39.97,-105.38,2418,213.46803652968038,73.53253424657534,287.0005707762557,6.197191780821919
39.93,-105.38,2470,211.3736301369863,76.35559360730593,287.7292237442922,5.955901826484018
40.25,-105.34,2093,212.6390410958904,69.40456621004566,282.04360730593606,7.468710045662101
40.21,-105.34,2071,219.1566210045662,68.92671232876712,288.0833333333333,8.006324200913243
40.17,-105.34,2139,219.77568493150685,68.66780821917808,288.44349315068496,7.852499999999999
40.13,-105.34,2375,221.91449771689497,69.87100456621005,291.785502283105,5.851141552511415
40.09,-105.34,2172,221.85719178082192,69.16449771689497,291.0216894977169,7.61216894977169
40.05,-105.34,2037,209.78607305936072,72.1566210045662,281.9426940639269,8.719223744292238
40.01,-105.34,2061,213.79520547945205,71.29543378995434,285.0906392694064,8.622659817351598
39.97,-105.34,2310,222.13093607305936,69.71312785388128,291.84406392694063,6.749942922374429
39.93,-105.34,2294,220.45502283105023,72.53550228310502,292.9905251141553,7.050776255707762
40.25,-105.3,1856,216.29109589041096,70.52237442922375,286.8134703196347,9.18865296803653
40.21,-105.3,1867,221.0013698630137,68.95239726027397,289.95376712328766,9.141860730593608
40.17,-105.3,2034,226.3642694063927,65.7791095890411,292.1433789954338,8.54181506849315
40.13,-105.3,1983,222.88196347031965,67.68584474885844,290.5678082191781,8.8224200913242
40.09,-105.3,1978,219.64828767123288,70.53687214611872,290.18515981735163,8.894383561643835
40.05,-105.3,1939,215.7659817351598,70.33812785388128,286.10410958904106,9.333618721461189
40.01,-105.3,2019,221.18390410958904,68.11666666666666,289.3005707762557,8.819235159817351
39.97,-105.3,2246,224.8601598173516,68.83698630136986,293.69714611872143,6.651392694063927
39.93,-105.3,2144,219.07568493150686,72.49246575342465,291.56815068493154,7.57060502283105
40.25,-105.26,1780,217.44440639269408,68.50251141552512,285.9469178082192,9.575456621004566
40.21,-105.26,1640,221.82260273972602,65.61792237442923,287.44052511415526,10.789885844748861
40.17,-105.26,1649,214.99771689497717,70.44794520547946,285.4456621004566,10.431780821917808
40.13,-105.26,1673,216.06940639269408,70.18607305936074,286.25547945205483,10.36933789954338
40.09,-105.26,1631,209.26780821917808,70.63447488584475,279.90228310502283,10.817397260273973
40.05,-105.26,1617,215.16084474885844,69.65422374429224,284.81506849315065,10.674041095890411
40.01,-105.26,1629,210.0357305936073,72.98401826484019,283.0197488584475,10.636141552511416
39.97,-105.26,1691,214.46792237442924,70.6716894977169,285.13961187214613,10.204121004566211
39.93,-105.26,1801,214.86723744292237,73.37614155251141,288.2433789954338,9.757134703196346
40.25,-105.22,1694,220.4142694063927,67.99611872146119,288.4103881278539,10.621632420091325
40.21,-105.22,1619,213.56518264840182,68.00216894977169,281.5673515981735,10.622682648401828
40.17,-105.22,1581,217.0744292237443,66.77728310502283,283.8517123287671,10.77829908675799
40.13,-105.22,1580,213.5744292237443,69.48824200913242,283.0626712328767,10.957180365296805
40.09,-105.22,1588,215.96769406392693,67.92545662100457,283.89315068493147,10.953550228310503
